Year,Mint Mark,Denomination,Program/Series,Theme/Subject,Condition,Cost,AI Estimated Value,Certification Number,Storage Location,Added
"1934","","Quarter","Washington Quarter","Unmapped","Circulated","$27.60","Pending","","",""
"1992","P","Dime","Roosevelt Dimes","Unmapped","Uncirculated","1.50","$1.00 – $3.00","","",""
"1949","","Half Dollar","Franklin Half Dollar","Historic Year Set","Circulated","$22.40","Pending","","",""
"11914-16","","Capped Bust Half Dime","","Unmapped","average circ","points","$15 – $45","","",""
"1964","","Dime","Roosevelt Dimes","Unmapped","Circulated","points","$2.00 – $3.00","","",""
"2020","","Dollar","American Innovation Dollar","Utah Paiute","Uncirculated","$5.95","Pending","","",""
"2024","S","Quarter Dollar","American Women Quarters","Ida B. Wells","Choice Proof-63","$10.95","","","",""
"2012","W","Dollar","The West Point Burnished American Eagle Silver Dollar Collection","American Eagle","Uncirculated","$164.00","","","",""
"2019","S","Quarter","America the Beautiful Quarters","Guam War in the Pacific National Historical Park","Uncirculated","$1.25","Pending","","",""
"1929","","Penny","Lincoln Cent","Abraham Lincoln","Genuine","","Pending","","",""
"2020","D","Quarter","National Park Quarters","Weir Farm National Historic Site","Mint State","$1.00","Pending","","",""
"2025","S","Quarter Dollar","American Women Quarters","Ida B. Wells","Choice Proof-63","$34.95","","","",""
"1942","","Quarter","Washington Silver Quarter","Unmapped","Very Good","22.50","Pending","","",""
"2018","P","Dime","America the Beautiful Quarters","Unmapped","Uncirculated","1.75","Pending","","",""
"1974","","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","UNC 63","$31.35","Pending","","",""
"2000","S","Quarter","State and Territory Quarters","Massachusetts","Proof-63","2.6","Pending","","",""
"2014","","Dollar","America the Beautiful Quarters","Unmapped","Uncirculated","$34.95","Pending","","",""
"2002","S","Penny","Lincoln Cent","Unmapped","Choice Proof 63","$3.95","Pending","","",""
"1924","D","Dime","Mercury Dime","Unmapped","Average Circulated","$29.25","Pending","","",""
"1914","P","Barber Silver Dimes","Barber Dimes","Liberty Head","Fine","$28.95","Pending","","",""
"2010","D","Quarter","America the Beautiful Quarters","Hot Springs National Park","Uncirculated","$1.50","Pending","","",""
"1903","O","Dollar","Morgan Silver Dollar","Liberty Head, Eagle","Uncirculated","$650.00","Pending","","",""
"2016","","$1 Silver Eagle","American Silver Eagle","Walking Liberty","Uncirculated","$0.00","","","",""
"1910","Pending","Dime","Barber Series","Liberty Head","Very Good","$26.95","Pending","","",""
"1919","","Penny","Lincoln Head Penny","Unmapped","Average Circulated","","Pending","","",""
"1994","","Dollar","American Eagle","Unmapped","Uncirculated","$87.50","Pending","","",""
"1997","D","Dime","Roosevelt Dimes","Unmapped","Uncirculated","2.50","Pending","","",""
"2017","P","Quarter","National Park Quarters","Missouri Ozark National Scenic Riverways","Uncirculated","$1.00","Pending","","",""
"1921","S","Half Dollar","Barber","Liberty Head","Circulated","$72.00","Pending","","",""
"1955","","Quarter","Washington Silver Quarter","Unmapped","Proof-63","45.00","Pending","","",""
"2009","D","Quarter","State and Territory Quarters","Northern Mariana Islands Territory","Uncirculated","3.0","Pending","","",""
"2005","S","Quarter","State and Territory Quarters","Oregon","Proof-63","4.75","Pending","","",""
"1964","","5-Coin Set","Time Capsule Year Set","Year Set","Circulated","$79.95","","","",""
"1981","S","Susan B. Anthony Dollar","Susan B. Anthony Dollar","Susan B. Anthony","Uncirculated","$12.95","Pending","","",""
"2002","","Dollar","American Eagle","Unmapped","Uncirculated","$64.50","Pending","","",""
"1973","S","Quarter","Washington Silver Quarter","Unmapped","Proof-63","2.25","Pending","","",""
"2024","","$1","The Statehood Innovation Dollar Coin Collection","Alabama","","$17.95","","","",""
"1974","D","1 Dollar","Eisenhower Dollar","Dwight D. Eisenhower","UNC 63","$31.35","Pending","","",""
"1954","","Dime","Roosevelt Dime","Unmapped","Uncirculated","20.50","Pending","","",""
"2007","S","Quarter","State and Territory Quarters","Wyoming","Proof-63","5.5","Pending","","",""
"1924","","Penny","Lincoln Cent","Lincoln Portrait","Average Circulated","$0.00","Pending","","",""
"2008","D","Dime","Roosevelt Dime","Unmapped","Uncirculated","2.00","Pending","","",""
"1945","D","Nickel","Jefferson Nickel","Thomas Jefferson, Wartime Nickel","Average Circulated","$9.25","Pending","","",""
"1859","","Quarter","Liberty Seated","Liberty Seated, No Motto","Very Good","$76.50","Pending","","",""
"1993","","Dollar","The Complete Original-Design Proof Silver Eagle Dollar Collection","American Eagle","Proof","$187.00","","","",""
"1919","D","Quarter","Standing Liberty Silver Quarter","Unmapped","Very Fine 25","$695.00","Pending","","",""
"1987","S","Dollar","American Eagle","Unmapped","Proof-63","$125.00","Pending","","",""
"1911","S","Barber Silver Dimes","Barber Dimes","Liberty Head","Good","$24.50","Pending","","",""
"1883","P","1 Dollar","Morgan Silver Dollars","Liberty Head","Extremely Fine","$90.00","Pending","","",""
"1955","D","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","points","Pending","","",""
"1857-1858","","Cent","America's First Small-Size One-Cent Coins","Flying Eagle","","$85.42","","","",""
"2020","","Dollar","American Innovation Dollar","Oregon Creek","Uncirculated","$5.95","Pending","","",""
"1928","S","Half Dollar","Liberty Walking Half Dollar","Unmapped","Very Good","$48.75","Pending","","",""
"2009","","Penny","Lincoln Cent Series","Abraham Lincoln, Birth and Childhood Reverse","Uncirculated","$0.30","Pending","","",""
"2025","P","Quarter Dollar","American Women Quarters","Juliette Gordon Low","Uncirculated","$1.00","","","",""
"1978","D","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$9.95","Pending","","",""
"2006","P","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$6.50","Pending","","",""
"1924","","Penny","Lincoln Head Cent","Unmapped","Average Circulated","$0.00","Pending","","",""
"1976","","$2 Federal Reserve Note","USA Invoice Import","1st Day of Issue with Stamp","","$0.00","","","",""
"1988","","Penny","Lincoln Head Penny","Abraham Lincoln","Uncirculated","$0.95","Pending","","",""
"1937","","Penny","Lincoln Head Penny","Lincoln Portrait","Uncirculated","$19.75","Pending","","",""
"1950","","Quarter","Washington Quarter","America Revisited Selection","Circulated","$33.40","Pending","","",""
"1996","","Dollar","American Eagle","Unmapped","Uncirculated","$135.00","Pending","","",""
"1924","D","Penny","Lincoln Head Penny","Lincoln Portrait","Very Fine","$138.00","Pending","","",""
"2024","D","Quarter","American Women Quarters Program","Patsy Takemoto Mink","Uncirculated","$1.00","Pending","","",""
"2004","D","Quarter","State and Territory Quarters","Florida","Uncirculated","1.95","Pending","","",""
"1943","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","Pending","","",""
"2009","","Penny","Lincoln Cent Series","Abraham Lincoln, Professional Life Reverse","Uncirculated","$0.30","Pending","","",""
"1907","D","25 Cents","Barber Silver Quarters","Liberty Head","Fine","$75.00","Pending","","",""
"1934","","Dime","Mercury Dime","Winged Liberty Head","Fine","$18.00","Pending","","",""
"2001","D","Quarter","State and Territory Quarters","Kentucky","Uncirculated","2.5","Pending","","",""
"1929","D","Quarter","Standing Liberty Silver Quarter","Unmapped","Fine","$36.00","Pending","","",""
"1926","","Quarter","Standing Liberty Silver Quarter","Unmapped","Very Good","$32.50","Pending","","",""
"1954","D","Penny","Lincoln Cent","Lincoln Cent (Wheat Reverse)","Uncirculated","$2.75","Pending","","",""
"1925","","Penny","Lincoln Head Penny","Lincoln Portrait","Fine","$6.75","Pending","","",""
"1961","D","Dime","Roosevelt Dimes","Unmapped","Average Circulated","14.50","Pending","","",""
"2011","","Dollar","The Complete Original-Design Proof Silver Eagle Dollar Collection","American Eagle","Proof","$187.00","","","",""
"1948","O","Half Dollar","Walking Liberty Half Dollar","Unmapped","Very Fine","$329.00","Pending","","",""
"1899","O","Dollar","Morgan Silver Dollar","Liberty Head, Eagle","VF-35","$175.00","Pending","","",""
"2017","P","Quarter","National Park Quarters","George Rogers Clark National Historical Park","Uncirculated","$2.25","Pending","","",""
"2011","","Five Cents","America the Beautiful Quarters","Unmapped","","$7.95","","","",""
"1929","D","Penny","","Unmapped","Average Circ","$3.60","Pending","","",""
"1943","","Half Dollar","Historic U.S. Silver Half-Dollars","Walking Liberty","","$168.00","","","",""
"1955","","Penny","Lincoln Head Penny","Abraham Lincoln","Choice Proof 63","$27.50","Pending","","",""
"1832","","Capped Bust Silver Quarter","","Unmapped","Extremely Fine","$585.00","Pending","","",""
"1986","D","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$15.50","Pending","","",""
"1986","S","Half Dollar","Coins-on-Approval","Statue of Liberty Commemorative","Choice Proof-63","$17.00","","","",""
"1938","","","America Revisited Selection","Time Capsule Year Set","Circulated","$179.00","","","",""
"1958","","Half Dollar","Franklin Half Dollar","Historical US Circulation Coins","Circulated","$18.90","Pending","","",""
"2013","D","Quarter","America the Beautiful Quarters","Fort McHenry National Monument and Historic Shrine","Uncirculated","$1.50","Pending","","",""
"2013","S","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Proof-63 Cameo","$30.95","Pending","","",""
"1984","O","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$5.95","Pending","","",""
"1996","P","Dime","Roosevelt Dimes","Unmapped","Uncirculated","2.50","Pending","","",""
"1993","","Dollar","American Eagle","Unmapped","Uncirculated","$71.50","Pending","","",""
"1826","","$50 Obsolete Note","USA Invoice Import","New York Marble Manufacturing NY-1705-G22","Extremely Fine or Better","$233.00","","","",""
"2013","","Dollar","America the Beautiful Quarters","Unmapped","Uncirculated","$41.95","Pending","","",""
"1946","","Five Cents","The U.S. Nickel Collection","Unmapped","","$7.95","","","",""
"2006","P","Quarter","State and Territory Quarters","Colorado","Uncirculated","2.5","Pending","","",""
"1963","","Penny","Lincoln Memorial Cent","Lincoln Head","Uncirculated","$0.40","Pending","","",""
"2025","","Quarter","The Celebrating America Coin Collection","J Gordon Low","","$17.95","","","",""
"2009","P","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$4.75","Pending","","",""
"1917","D","Quarter","Standing Liberty Silver Quarter (Type 1)","Unmapped","Average Circulated","$94.50","Pending","","",""
"1938","","Quarter","Washington Quarter","America Revisited Selection","Circulated","$35.80","Pending","","",""
"1957","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","Pending","","",""
"1973","S","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","Uncirculated","$0.00","Pending","","",""
"2016","P","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$1.95","Pending","","",""
"1888","S","Dollar","Morgan Dollar","Liberty Head, Eagle","Extremely Fine","$365.00","Pending","","",""
"1882","S","1 Dollar","Morgan Dollar","Liberty Head","Mint State","$125.00","Pending","","",""
"1902","S","25 Cents","Barber Quarters","Liberty Head","Ungraded","$37.00","Pending","","",""
"1950","D","Nickel","","Unmapped","Uncirculated","$45.95","Pending","","",""
"1927","","Dollar","Peace Dollar","Unmapped","About Uncirculated","$117.00","Pending","","",""
"2006","S","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Proof-63 Cameo","$30.95","Pending","","",""
"1978","","Dollar","","Unmapped","Uncirculated","$18.00","Pending","","",""
"1866","","$5","Liberty Head Gold Half Eagle","Liberty Head","Extremely Fine","$575.00","Pending","","",""
"1944","D","Dime","Mercury Dime","Winged Liberty Head","Very Fine","$17.25","Pending","","",""
"2017","S","Quarter","National Park Quarters","DC Frederick Douglass National Historic Site","Proof-63","$11.75","Pending","","",""
"1948","","Five Cents","The U.S. Nickel Collection - Shipment 13","Unmapped","","$7.95","","","",""
"1907","O","Dime","Barber Series","Liberty Head","Average Circulated","$24.50","Pending","","",""
"1947","D","Dime","Mercury Dime","Winged Liberty Head","Average Circulated","Points","Pending","","",""
"2024","S","Quarter Dollar","American Women Quarters","Dr. Mary Edwards Walker","Ch Proof-63","$8.95","","","",""
"1838","O","Dime","Liberty Seated Silver Dime","Unmapped","Fine 15","$410.00","Pending","","",""
"1990","S","Dollar","American Eagle","Unmapped","Proof-63","$125.00","Pending","","",""
"1936","","Half Dollar","Walking Liberty Half Dollar","America Revisited Selection","Circulated","$20.20","Pending","","",""
"1957","D","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Good","$0.00","Pending","","",""
"1928","D","Penny","Lincoln Head Cent","Unmapped","Very Good","$8.75","Pending","","",""
"2018","D","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","points","Pending","","",""
"2009","","Penny","Lincoln Bicentennial Cent","Abraham Lincoln Bicentennial (4 designs)","Mint State","$14.95","Pending","","",""
"1954","D","Dime","Mercury Dime","Winged Liberty Head","Uncirculated","Points","Pending","","",""
"1859","","1 Cent","Indian Head Cent","Indian Head","Extremely Fine","$199.00","Pending","","",""
"1916","P","Half Dollar","Liberty Walking Half Dollar","Liberty Walking","Average Circulated","$99.00","Pending","","",""
"1991","D","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","4.50","Pending","","",""
"2022","D","Quarter Dollar","American Women Quarters","Anna May Wong","Uncirculated","$1.00","","","",""
"2013","P","$1","Presidential $1 Coin Program","Theodore Roosevelt","Uncirculated","2.95","Pending","","",""
"1998","P","Dime","Roosevelt Dimes","Unmapped","Uncirculated","2.25","Pending","","",""
"2018","S","Quarter","National Park Quarters","Wisconsin Apostle Islands National Lakeshore","Proof-63","$5.50","Pending","","",""
"1943","P","Cent","Lincoln Cent","Lincoln Head","Ungraded","$0.00","Pending","","",""
"1862","","$3 State of Missouri Note","USA Invoice Import","Jefferson City","Crisp Unused","$205.00","","","",""
"2021","S","Quarter","National Park Quarters","Tuskegee Airman National Historic Site","Proof-63","$9.50","Pending","","",""
"1999S","","","Clad  Proof Set 9 coins","Unmapped","ch proog 63","$34.50","","","",""
"1993","S","Quarter","Washington Silver Quarter","Unmapped","Proof-63","5.50","Pending","","",""
"1994","D","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$4.50","Pending","","",""
"1999","S","Quarter","State and Territory Quarters","Pennsylvania","Proof-63","15.95","Pending","","",""
"1976","S","Dollar","Eisenhower Dollar","Dwight D. Eisenhower / Bicentennial","Proof-63","$0.00","Pending","","",""
"2018","S","Quarter","National Park Quarters","Wisconsin Apostle Islands National Lakeshore","Proof-63","$11.75","Pending","","",""
"2013","D","Quarter","America the Beautiful Quarters","Mount Rushmore National Memorial","Uncirculated","$1.50","Pending","","",""
"2012","D","$1","Presidential $1 Coin Program","Grover Cleveland (First Term)","Uncirculated","3.50","Pending","","",""
"1969","S","Penny","Lincoln Head Penny","Abraham Lincoln","Uncirculated","$0.80","Pending","","",""
"2022","P","1 Dollar","Native American Dollar","Ely Samuel Parker","Uncirculated","Points","Pending","","",""
"1957","D","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Very Fine","$34.95","Pending","","",""
"1963","","Dime","Roosevelt Dimes","Unmapped","Uncirculated","17.25","Pending","","",""
"1956","D","Penny","Lincoln Cent","Lincoln Cent (Wheat Reverse)","Uncirculated","$1.65","Pending","","",""
"2005","P","Dime","Roosevelt Dimes","Unmapped","Uncirculated","2.00","Pending","","",""
"","","Half Dollar","The U.S. Coin Complete Denomination Set","Walking Liberty","","$75.00","","","",""
"2004","D","Quarter","State and Territory Quarters","Iowa","Uncirculated","1.5","Pending","","",""
"2009","D","Quarter","State and Territory Quarters","District of Columbia","Uncirculated","2.5","Pending","","",""
"1893","","$5","Liberty Head Half Eagle","Liberty Head","MS-63","$895.00","Pending","","",""
"1977","S","1 Dollar","Eisenhower Dollar","Dwight D. Eisenhower","Proof-63","$31.35","Pending","","",""
"2024","","Quarter Dollar","The Celebrating America Coin Collection","Celia Cruz","","$17.95","","","",""
"1929","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","Pending","","",""
